Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1/5/2015,3.14,3.03,3.2,3.2,3.21,3.21,3.48,3.48,3.64,3.64,3.64,3.64,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
1/12/2015,3.13,3.01,3.17,3.17,3.18,3.18,3.42,3.42,3.57,3.57,3.57,3.57,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
1/19/2015,3.11,2.95,2.99,2.99,3.06,3.06,3.32,3.32,3.52,3.52,3.52,3.52,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
1/26/2015,3.11,2.94,2.96,2.96,2.99,2.99,3.25,3.25,3.43,3.43,3.43,3.43,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69
2/2/2015,3.12,2.96,3,3,3.02,3.02,3.26,3.26,3.42,3.42,3.42,3.42,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
2/9/2015,3.13,2.94,2.98,2.98,2.98,2.98,3.26,3.26,3.41,3.41,3.41,3.41,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
2/16/2015,3.16,3.05,3.2,3.2,3.17,3.17,3.42,3.42,3.56,3.56,3.56,3.56,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
2/23/2015,3.19,3.06,3.18,3.18,3.17,3.17,3.44,3.44,3.6,3.6,3.6,3.6,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
3/2/2015,3.18,3.05,3.18,3.18,3.19,3.19,3.46,3.46,3.6,3.6,3.6,3.6,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
3/9/2015,3.18,3.05,3.18,3.18,3.16,3.16,3.44,3.44,3.59,3.59,3.59,3.59,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
3/16/2015,3.2,3.09,3.23,3.23,3.21,3.21,3.48,3.48,3.64,3.64,3.64,3.64,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3/23/2015,3.2,3.06,3.18,3.18,3.17,3.17,3.42,3.42,3.58,3.58,3.58,3.58,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
3/30/2015,3.2,3.03,3.06,3.06,3.08,3.08,3.35,3.35,3.51,3.51,3.51,3.51,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
4/6/2015,3.2,2.99,3.14,3.14,3.12,3.12,3.36,3.36,3.59,3.59,3.59,3.59,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
4/13/2015,3.2,2.96,3.08,3.08,3.03,3.03,3.35,3.35,3.52,3.52,3.52,3.52,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
4/20/2015,3.2,2.98,3.07,3.07,3.08,3.08,3.36,3.36,3.56,3.56,3.56,3.56,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
4/27/2015,3.18,2.98,2.99,2.99,3,3,3.29,3.29,3.5,3.5,3.5,3.5,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
