Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1/3/2000,8.64,7.92,7.62,7.62,7.4,7.4,7.47,7.47,7.27,7.27,7.27,7.27,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17
1/10/2000,8.49,7.89,7.63,7.63,7.44,7.44,7.49,7.49,7.34,7.34,7.34,7.34,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26
1/17/2000,8.69,8.02,7.72,7.72,7.52,7.52,7.53,7.53,7.39,7.39,7.39,7.39,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29
1/24/2000,8.83,8.08,7.76,7.76,7.53,7.53,7.53,7.53,7.41,7.41,7.41,7.41,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37
1/31/2000,8.54,7.94,7.69,7.69,7.53,7.53,7.54,7.54,7.43,7.43,7.43,7.43,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36
2/7/2000,8.73,8.07,7.77,7.77,7.53,7.53,7.43,7.43,7.25,7.25,7.25,7.25,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36
2/14/2000,8.62,8.2,7.93,7.93,7.69,7.69,7.59,7.59,7.34,7.34,7.34,7.34,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.47
2/21/2000,8.47,8.11,7.88,7.88,7.69,7.69,7.61,7.61,7.33,7.33,7.33,7.33,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48
2/28/2000,8.62,8.06,7.79,7.79,7.54,7.54,7.44,7.44,7.11,7.11,7.11,7.11,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42
3/6/2000,8.57,7.99,7.71,7.71,7.49,7.49,7.44,7.44,7.11,7.11,7.11,7.11,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38
3/13/2000,8.57,8,7.75,7.75,7.53,7.53,7.44,7.44,7.13,7.13,7.13,7.13,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
3/20/2000,8.57,7.96,7.66,7.66,7.42,7.42,7.34,7.34,7.02,7.02,7.02,7.02,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35
3/27/2000,8.67,8.06,7.72,7.72,7.41,7.41,7.28,7.28,6.94,6.94,6.94,6.94,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34
4/3/2000,8.65,8.06,7.7,7.7,7.35,7.35,7.22,7.22,6.87,6.87,6.87,6.87,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34
4/10/2000,8.68,7.99,7.63,7.63,7.25,7.25,7.12,7.12,6.77,6.77,6.77,6.77,8,8,8,8,8,8,8,8,8,8,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31
4/17/2000,8.75,8.05,7.69,7.69,7.31,7.31,7.2,7.2,6.82,6.82,6.82,6.82,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22
4/24/2000,8.65,8,7.65,7.65,7.34,7.34,7.29,7.29,6.93,6.93,6.93,6.93,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
5/1/2000,8.66,8.05,7.7,7.7,7.37,7.37,7.27,7.27,6.93,6.93,6.93,6.93,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24
5/8/2000,8.79,8.4,8.04,8.04,7.71,7.71,7.58,7.58,7.24,7.24,7.24,7.24,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39
5/15/2000,8.85,8.45,8.09,8.09,7.77,7.77,7.66,7.66,7.34,7.34,7.34,7.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63
5/22/2000,9.04,8.61,8.23,8.23,7.87,7.87,7.75,7.75,7.41,7.41,7.41,7.41,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
5/29/2000,8.95,8.67,8.4,8.4,8.07,8.07,7.97,7.97,7.64,7.64,7.64,7.64,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
6/5/2000,8.95,8.54,8.21,8.21,7.88,7.88,7.77,7.77,7.47,7.47,7.47,7.47,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
6/12/2000,8.94,8.42,8.08,8.08,7.73,7.73,7.65,7.65,7.34,7.34,7.34,7.34,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42
6/19/2000,9.1,8.52,8.15,8.15,7.76,7.76,7.67,7.67,7.36,7.36,7.36,7.36,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
6/26/2000,8.92,8.43,8.16,8.16,7.76,7.76,7.68,7.68,7.37,7.37,7.37,7.37,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
7/3/2000,8.96,8.49,8.13,8.13,7.78,7.78,7.72,7.72,7.42,7.42,7.42,7.42,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
7/10/2000,8.97,8.4,8.12,8.12,7.74,7.74,7.7,7.7,7.43,7.43,7.43,7.43,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
7/17/2000,8.92,8.35,8,8,7.67,7.67,7.64,7.64,7.39,7.39,7.39,7.39,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19
7/24/2000,9.02,8.53,8.19,8.19,7.87,7.87,7.81,7.81,7.55,7.55,7.55,7.55,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31
7/31/2000,8.99,8.46,8.11,8.11,7.78,7.78,7.71,7.71,7.48,7.48,7.48,7.48,8,8,8,8,8,8,8,8,8,8,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23
8/7/2000,8.98,8.36,8.08,8.08,7.73,7.73,7.64,7.64,7.43,7.43,7.43,7.43,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23
8/14/2000,8.98,8.22,7.89,7.89,7.56,7.56,7.47,7.47,7.24,7.24,7.24,7.24,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14
8/21/2000,9.1,8.28,7.91,7.91,7.52,7.52,7.39,7.39,7.04,7.04,7.04,7.04,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07
8/28/2000,9.07,8.33,8.06,8.06,7.66,7.66,7.52,7.52,7.18,7.18,7.18,7.18,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
9/4/2000,9.16,8.26,7.88,7.88,7.51,7.51,7.39,7.39,7.05,7.05,7.05,7.05,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07
9/11/2000,9.22,8.24,7.84,7.84,7.5,7.5,7.39,7.39,7.08,7.08,7.08,7.08,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05
9/18/2000,9.15,8.21,7.82,7.82,7.48,7.48,7.39,7.39,7.09,7.09,7.09,7.09,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
